"Subject","Course Number","Department(s)","Course Title","Credits - Units - Minimum Units","Credits - Units - Maximum Units","Terms Offered","Course Description","Cross-Listed Course(s)","Repeat Rules","Repeat Rule: Special Circumstances","Offering Information","Additional Offering Information"
"COMPSCI","370","Electrical Engineering and Computer Sciences","Adaptive Instruction Methods in Computer Science","3","3","-","This is a course for aspiring teachers or those who want to instruct with expertise from evidence-based research and proven equity-oriented practices. It provides pedagogical training by introducing the big ideas of teaching and learning, and illustrating how to put them into practice. The course is divided into three sections—instructing the individual; a group; and psycho-social factors that affect learning at any level. These sections are designed to enhance any intern’s, tutor’s, or TA’s teaching skillset. Class is discussion based, and covers theoretical and practical pedagogical aspects to teaching in STEM. An integral feature of the course involves providing weekly tutoring sessions.","-","Course is not repeatable for credit.","-","-","-"
"COMPSCI","375","Electrical Engineering and Computer Sciences","Teaching Techniques for Computer Science","2","2","-","Discussion and practice of techniques for effective teaching, focusing on issues most relevant to teaching assistants in computer science courses. ","-","Course may be repeated for credit without restriction.","-","-","-"
"COMPSCI","399","Electrical Engineering and Computer Sciences","Professional Preparation: Supervised Teaching of Computer Science","1","2","-","Discussion, problem review and development, guidance of computer science laboratory sections, course development, supervised practice teaching.","-","Course may be repeated for credit without restriction.","-","-","-"
"COMPSCI","602","Electrical Engineering and Computer Sciences","Individual Study for Doctoral Students","1","8","-","Individual study in consultation with the major field adviser, intended to provide an opportunity for qualified students to prepare themselves for the various examinations required of candidates for the Ph.D. (and other doctoral degrees).","-","Course may be repeated for credit without restriction.","-","-","-"
"COMPSCI","C8","Electrical Engineering and Computer Sciences","Foundations of Data Science","4","4","-","Foundations of data science from three perspectives: inferential thinking, computational thinking, and real-world relevance. Given data arising from some real-world phenomenon, how does one analyze that data so as to understand that phenomenon? The course teaches critical concepts and skills in computer programming and statistical inference, in conjunction with hands-on analysis of real-world datasets, including economic data, document collections, geographical data, and social networks. It delves into social and legal issues surrounding data analysis, including issues of privacy and data ownership.","STATC8 FOUNDATION DATA SCI, INFOC8 FOUNDATION DATA SCI, DATAC8 FOUNDATION DATA SCI","Course is not repeatable for credit.","-","-","-"
"COMPSCI","C8R","Electrical Engineering and Computer Sciences","Introduction to Computational Thinking with Data","3","3","-","An introduction to computational thinking and quantitative reasoning, preparing students for further coursework, especially Foundations of Data Science (CS/Info/Stat C8).  Emphasizes the use of computation to gain insight about quantitative problems with real data. Expressions, data types, collections, and tables in Python. Programming practices, abstraction, and iteration.  Visualizing univariate and bivariate data with bar charts, histograms, plots, and maps. Introduction to statistical concepts including averages and distributions, predicting one variable from another, association and causality, probability and probabilistic simulation. Relationship between numerical functions and graphs. Sampling and introduction to inference.","STATC8R INTRO COMP THINK","-","-","-","-"
"COMPSCI","C88C","Electrical Engineering and Computer Sciences","Computational Structures in Data Science","3","3","-","Development of Computer Science topics appearing in Foundations of Data Science (C8); expands computational concepts and techniques of abstraction. Understanding  the structures that underlie the programs, algorithms, and languages used in data science and elsewhere.   Mastery of a particular programming language while studying general techniques for managing program complexity, e.g., functional, object-oriented, and declarative programming. Provides practical experience with composing larger systems through several significant programming projects.","DATAC88C CS STRUCT DATA SCI","Course is not repeatable for credit.","-","-","-"
"COMPSCI","C100","Electrical Engineering and Computer Sciences","Principles & Techniques of Data Science","4","4","-","In this course, students will explore the data science lifecycle, including question formulation, data collection and cleaning, exploratory data analysis and visualization, statistical inference and prediction​, and decision-making.​ This class will focus on quantitative critical thinking​ and key principles and techniques needed to carry out this cycle. These include languages for transforming, querying and analyzing data; algorithms for machine learning methods including regression, classification and clustering; principles behind creating informative data visualizations; statistical concepts of measurement error and prediction; and techniques for scalable data processing.","STATC100 PRINC&TECH DATA SCI, DATAC100 PRINC&TECH DATA SCI","Course is not repeatable for credit.","-","-","-"
"COMPSCI","C176","Electrical Engineering and Computer Sciences","Algorithms for Computational Biology","4","4","-","This course will provide familiarity with algorithms and probabilistic models that arise in various computational biology applications, such as suffix trees, suffix arrays, pattern matching, repeat finding, sequence alignment, phylogenetics, hidden Markov models, gene finding, motif finding, linear/logistic regression, random forests, convolutional neural networks, genome-wide association studies, pathogenicity prediction, and sequence-to-epigenome prediction.","CMPBIOC176 ALGO FOR COMP BIO","Course is not repeatable for credit.","-","-","-"
"COMPSCI","C177","Electrical Engineering and Computer Sciences","Algorithmic Economics","4","4","-","The class provides an introduction to algorithmic questions in economic design. The class will cover problems of public goods and social choice, as well as allocative questions and private consumption. The focus is on normative questions: From the perspective of social goals, these are efficiency, fairness, and equity. In terms of private goals, the focus is on revenue maximization. The course will cover voting, fair division, pricing and market mechanisms. There is an emphasis on the algorithmic questions that arise naturally in economic design.","ECONC147 ALGORITHMIC ECON","Course is not repeatable for credit.","-","-","-"
"COMPSCI","C182","Electrical Engineering and Computer Sciences","Designing, Visualizing and Understanding Deep Neural Networks","4","4","-","Deep Networks have revolutionized computer vision, language technology, robotics and control. They have growing impact in many other areas of science and engineering. They do not however, follow a closed or compact set of theoretical principles. In Yann Lecun's words they require ""an interplay between intuitive insights, theoretical modeling, practical implementations, empirical studies, and scientific analyses."" This course attempts to cover that ground.","DATAC182 NEURAL NETWORKS","Course is not repeatable for credit.","-","-","-"
"COMPSCI","C187","Electrical Engineering and Computer Sciences","Data Engineering","4","4","-","This course will cover the principles and practices of managing data at scale, with a focus on use cases in data analysis and machine learning. We will cover the entire life cycle of data management and science, ranging from data preparation to exploration, visualization and analysis, to machine learning and collaboration, with a focus on ensuring reliable, scalable operationalization.","DATAC101 DATA ENGINEERING","Course is not repeatable for credit.","-","-","-"
"COMPSCI","C191","Electrical Engineering and Computer Sciences","Introduction to Quantum Computing","4","4","-","This multidisciplinary course provides an introduction to fundamental conceptual aspects of quantum mechanics from a computational and informational theoretic perspective, as well as physical implementations and technological applications of quantum information science. Basic sections of quantum algorithms, complexity, and cryptography, will be touched upon, as well as pertinent physical realizations from nanoscale science and engineering. ","CHEMC191 INTRO QUANTUM COMP, PHYSICSC191 INTRO QUANTUM COMP","Course is not repeatable for credit.","-","-","-"
"COMPSCI","C200A","Electrical Engineering and Computer Sciences","Principles and Techniques of Data Science","4","4","-","Explores the data science lifecycle: question formulation, data collection and cleaning, exploratory, analysis, visualization, statistical inference, prediction, and decision-making. Focuses on quantitative critical thinking and key principles and techniques: languages for transforming, querying and analyzing data; algorithms for machine learning methods: regression, classification and clustering; principles of informative visualization; measurement error and prediction; and techniques for scalable data processing. Research term project.","STATC200C PRINC&TECH DATA SCI, DATAC200 PRINC&TECH DATA SCI","Course is not repeatable for credit.","-","-","-"
"COMPSCI","C249A","Electrical Engineering and Computer Sciences","Introduction to Embedded Systems","4","4","-","This course introduces students to the basics of models, analysis tools, and control for embedded systems operating in real time. Students learn how to combine physical processes with computation. Topics include models of computation, control, analysis and verification, interfacing with the physical world, mapping to platforms, and distributed embedded systems. The course has a strong laboratory component, with emphasis on a semester-long sequence of projects.","ELENGC249A INTRO EMBEDDED","Course is not repeatable for credit.","-","-","-"
"COMPSCI","C267","Electrical Engineering and Computer Sciences","Applications of Parallel Computers","3","4","-","Models for parallel programming.  Overview of parallelism in scientific applications and study of parallel algorithms for linear algebra, particles, meshes, sorting, FFT, graphs, machine learning, etc. Survey of parallel machines and machine structures. Programming shared- and distributed-memory parallel computers, GPUs, and cloud platforms. Parallel programming languages, compilers, libraries and toolboxes. Data partitioning techniques. Techniques for synchronization and load balancing. Detailed study and algorithm/program development of medium sized applications.","ENGINC233 APP OF PARALLEL COM","Course may be repeated for credit without restriction.","-","-","-"
"COMPSCI","C280","Electrical Engineering and Computer Sciences","Computer Vision","3","3","-","Paradigms for computational vision. Relation to human visual perception. Mathematical techniques for representing and reasoning, with curves, surfaces and volumes. Illumination and reflectance models. Color perception. Image segmentation and aggregation. Methods for bottom-up three dimensional shape recovery: Line drawing analysis, stereo, shading, motion, texture. Use of object models for prediction and recognition.","VISSCIC280 COMPUTER VISION","Course is not repeatable for credit.","-","-","-"
"COMPSCI","C281A","Electrical Engineering and Computer Sciences","Statistical Learning Theory","3","3","-","Classification regression, clustering, dimensionality, reduction, and density estimation. Mixture models, hierarchical models, factorial models, hidden Markov, and state space models, Markov properties, and recursive algorithms for general probabilistic inference nonparametric methods including decision trees, kernal methods, neural networks, and wavelets. Ensemble methods.","STATC241A STAT LEARN THEORY","Course is not repeatable for credit.","-","-","-"
"COMPSCI","C281B","Electrical Engineering and Computer Sciences","Advanced Topics in Learning and Decision Making","3","3","-","Recent topics include: Graphical models and approximate inference algorithms. Markov chain Monte Carlo, mean field and probability propagation methods. Model selection and stochastic realization. Bayesian information theoretic and structural risk minimization approaches. Markov decision processes and partially observable Markov decision processes. Reinforcement learning.","STATC241B ADV LEARN & DECISN","Course is not repeatable for credit.","-","-","-"
"COMPSCI","H195","Electrical Engineering and Computer Sciences","Honors Social Implications of Computer Technology","3","3","-","Topics include electronic community; the changing nature of work; technological risks; the information economy; intellectual property; privacy; artificial intelligence and the sense of self; pornography and censorship; professional ethics. Students may lead discussions on additional topics.","-","Course is not repeatable for credit.","-","-","-"
"COMPSCI","H196A","Electrical Engineering and Computer Sciences","Senior Honors Thesis Research","1","4","-","Thesis work under the supervision of a faculty member. To obtain credit the student must, at the end of two semesters, submit a satisfactory thesis to the Electrical Engineering and Computer Science department archive. A total of four units must be taken. The units many be distributed between one or two semesters in any way. H196A-H196B count as graded technical elective units, but may not be used to satisfy the requirement for 27 upper division technical units in the College of Letters and Science with a major in Computer Science.","-","Course is not repeatable for credit.","-","-","-"
"COMPSCI","H196B","Electrical Engineering and Computer Sciences","Senior Honors Thesis Research","1","4","-","Thesis work under the supervision of a faculty member. To obtain credit the student must, at the end of two semesters, submit a satisfactory thesis to the Electrical Engineering and Computer Science department archive. A total of four units must be taken. The units many be distributed between one or two semesters in any way. H196A-H196B count as graded technical elective units, but may not be used to satisfy the requirement for 27 upper division technical units in the College of Letters and Science with a major in Computer Science.","-","Course is not repeatable for credit.","-","-","-"
"COMPSCI","W10","Electrical Engineering and Computer Sciences","The Beauty and Joy of Computing","4","4","-","This course meets the programming prerequisite for 61A. An introduction to the beauty and joy of computing. The history, social implications, great principles, and future of computing. Beautiful applications that have changed the world. How computing empowers discovery and progress in other fields. Relevance of computing to the student and society will be emphasized. Students will learn the joy of programming a computer using a friendly, graphical language, and will complete a substantial team programming project related to their interests. ","-","Course is not repeatable for credit.","-","-","-"
"EECS","16A","Electrical Engineering and Computer Sciences","Foundations of Signals, Dynamical Systems, and Information Processing","4","4","-","This course offers an introduction to signals, systems, optimization, controls, and machine learning, all grounded in linear algebraic techniques. After a brief review of linear algebra, students will delve into topics such as signal processing, linear systems, feedback control, optimization methods, and foundational machine learning algorithms. Emphasizing practical applications, the course prepares EECS majors for advanced study by connecting mathematical concepts to real-world engineering problems.","-","Course is not repeatable for credit.","-","-","-"
"EECS","16B","Electrical Engineering and Computer Sciences","Introduction to Circuits & Devices","4","4","-","This course teaches the fundamentals needed to predict the behavior of real-world electronic phenomena and applications via mathematical models and circuit analytical methods that simplify initially complex problems, rendering them solvable and understandable. Among the specific topics to be covered are time and frequency domain representation, complex arithmetic, phasor analysis of systems governed by differential equations, Kirchhoff’s laws, physical examples of electronic elements and devices, RLC circuits, op amp-based signal processors, feedback methods, and circuit models for domains beyond the electronic. Class contact time includes lectures, discussions, and a laboratory component designed to help solidify learned concepts.","-","Course is not repeatable for credit.","-","-","-"
"EECS","47D","Electrical Engineering and Computer Sciences","Completion of work in Electrical Engineering 16A","1","3","-","This course allows students who have had a linear algebra and/or basic circuit theory course to complete the work in EE16A and be ready for EE16B or EE47E. The course focuses on the fundamentals of designing modern information devices and systems that interface with the real world and provides a comprehensive foundation for core EECS topics in signal processing, learning, control, and circuit design. Modeling is emphasized in a way that deepens mathematical maturity, and in both labs and homework, students will engage computationally, physically, and visually with the concepts being introduced in addition to traditional paper/pencil exercises.","-","Course is not repeatable for credit.","-","-","-"
"EECS","47E","Electrical Engineering and Computer Sciences","Completion of work in Electrical Engineering 16B","1","3","-","This course allows students who have had a linear algebra and/or basic circuit theory course to complete the work in EE16B. The course focuses on the fundamentals of designing modern information devices and systems that interface with the real world and provides a comprehensive foundation for core EECS topics in signal processing (DFT), learning (SVD/PCA), feedback control, and circuit design. Modeling is emphasized in a way that deepens mathematical maturity, and in both labs and homework, students will engage computationally, physically, and visually with the concepts being introduced in addition to traditional paper/pencil exercises.","-","Course is not repeatable for credit.","-","-","-"
"EECS","47F","Electrical Engineering and Computer Sciences","Completion of work in Computer Science 70","1","3","-","This course allows students who have had a discrete math and/or probability course to complete the work in CS70.  Logic, infinity, and induction; applications include undecidability and stable marriage problem. Modular arithmetic and GCDs; applications include primality testing and cryptography. Polynomials; examples include error correcting codes and interpolation. Probability including sample spaces, independence, random variables, law of large numbers; examples include load balancing, existence arguments, Bayesian inference.","-","Course is not repeatable for credit.","-","-","-"
"EECS","107","Electrical Engineering and Computer Sciences","Introduction to AR/VR and Applications in Metaverse","4","4","-","This course develops a fundamental understanding of computervision (CV) and computer graphics (CG) that underpin theemerging AR/VR and Metaverse applications. The syllabusincludes 3D perception, near-eye optics, depth cameras, 3Dlocalization, and immersive 3D user experience. The companionlab helps students to acquire basic AR/VR coding skills in Unityand develop Metaverse applications. The course builds a strongfoundation for students to take more advanced course: CS294-137.","-","Course may be repeated for credit with instructor consent.","-","-","-"
"EECS","126","Electrical Engineering and Computer Sciences","Probability and Random Processes","4","4","-","This course covers the fundamentals of probability and random processes useful in fields such as networks, communication, signal processing, and control. Sample space, events, probability law. Conditional probability. Independence. Random variables. Distribution, density functions. Random vectors. Law of large numbers. Central limit theorem. Estimation and detection. Markov chains. ","-","Course is not repeatable for credit.","-","-","-"
"EECS","127","Electrical Engineering and Computer Sciences","Optimization Models in Engineering","4","4","-","This course offers an introduction to optimization models and their applications, ranging from machine learning and statistics to decision-making and control, with emphasis on numerically tractable problems, such as linear or constrained least-squares optimization. ","-","Course is not repeatable for credit.","-","-","-"
"EECS","144","Electrical Engineering and Computer Sciences","Introduction to Design Automation","4","4","-","This course is an introduction to design automation, concerned with rigorous methods and tools for the modeling, design, and analysis of complex engineered systems. Topics include design flows, discrete and continuous modeling techniques, and fundamental synthesis, verification, and simulation algorithms. Integrated circuit design will be used as a central example, augmented by examples from cyber-physical systems and software design. Laboratory assignments and a class project will expose students to state-of-the-art languages and tools. ","-","Course is not repeatable for credit.","-","-","-"
"EECS","149","Electrical Engineering and Computer Sciences","Introduction to Embedded and Cyber Physical Systems","4","4","-","This course introduces students to the basics of modeling, analysis, and design of embedded, cyber-physical systems. Students learn how to integrate computation with physical processes to meet a desired specification. Topics include models of computation, control, analysis and verification, interfacing with the physical world, real-time behaviors, mapping to platforms, and distributed embedded systems. The course has a strong laboratory component, with emphasis on a semester-long sequence of projects.","-","Course is not repeatable for credit.","-","-","-"
"EECS","151","Electrical Engineering and Computer Sciences","Introduction to Digital Design and Integrated Circuits","3","3","-","An introduction to digital and system design. The material provides a top-down view of the principles, components, and methodologies for large scale digital system design. The underlying CMOS devices and manufacturing technologies are introduced, but quickly abstracted to higher-levels to focus the class on design of larger digital modules for both FPGAs (field programmable gate arrays) and ASICs (application specific integrated circuits). The class includes extensive use of industrial grade design automation and verification tools for assignments, labs and projects.  The class has two lab options: ASIC Lab (EECS 151LA) and FPGA Lab (EECS 151LB). Students must enroll in at least one of the labs concurrently with the class.","-","Course is not repeatable for credit.","-","-","-"
"EECS","151LA","Electrical Engineering and Computer Sciences","Application Specific Integrated Circuits Laboratory","2","2","-","This lab lays the foundation of modern digital design by first presenting the scripting and hardware description language base for specification of digital systems and interactions with tool flows. The labs are centered on a large design with the focus on rapid design space exploration. The lab exercises culminate with a project design, e.g., implementation of a three-stage RISC-V processor with a register file and caches. The design is mapped to simulation and layout specification.","-","Course is not repeatable for credit.","-","-","-"
"EECS","151LB","Electrical Engineering and Computer Sciences","Field-Programmable Gate Array Laboratory","2","2","-","This lab covers the design of modern digital systems with Field-Programmable Gate Array (FPGA) platforms.  A series of lab exercises provide the background and practice of digital design using a modern FPGA design tool flow.  Digital synthesis, partitioning, placement, routing, and simulation tools for FPGAs are covered in detail.  The labs exercises culminate with a large design project, e.g., an implementation of a full three-stage RISC-V processor system, with caches, graphics acceleration, and external peripheral components.  The design is mapped and demonstrated on an FPGA hardware platform.","-","Course is not repeatable for credit.","-","-","-"
"EECS","183","Electrical Engineering and Computer Sciences","Natural Language Processing","4","4","-","This course provides a hands-on introduction to language technologies, covering methods for processing speech and text. This includes:statistical models, early neural models, and transformer-based LLMs; model architectures, training, evaluation, and social impacts; core tasks and methods like machine translation, parsing, and prompting; analysis and representation of speech and speech recognition models. Weekly assignments provide practical experience in building systems and understanding their strengths and limitations.","-","Course is not repeatable for credit.","-","-","-"
"EECS","208","Electrical Engineering and Computer Sciences","Computational Principles for High-dimensional Data Analysis","4","4","-","Introduction to fundamental geometric and statistical concepts and principles of low-dimensional models for high-dimensional signal and data analysis, spanning basic theory, efficient algorithms, and diverse real-world applications. Systematic study of both sampling complexity and computational complexity for sparse, low-rank, and low-dimensional models – including important cases such as matrix completion, robust principal component analysis, dictionary learning, and deep networks.","-","Course is not repeatable for credit.","-","-","-"
"EECS","219A","Electrical Engineering and Computer Sciences","Numerical Simulation and Modeling","4","4","-","Numerical simulation and modeling are enabling technologies that pervade science and engineering. This course provides a detailed introduction to the fundamental principles of these technologies and their translation to engineering practice. The course emphasizes hands-on programming in MATLAB and application to several domains, including circuits, nanotechnology, and biology. ","-","Course is not repeatable for credit.","-","-","-"
"EECS","219C","Electrical Engineering and Computer Sciences","Formal Methods: Specification, Verification, and Synthesis","3","3","-","Introduction to the theory and practice of formal methods for the design and analysis of systems, with a focus on algorithmic techniques. Covers selected topics in computational logic and automata theory including modeling and specification formalisms, temporal logics, satisfiability solving, model checking, synthesis, learning, and theorem proving. Applications to software and hardware design, cyber-physical systems, robotics, computer security, and other areas will be explored as time permits.","-","Course is not repeatable for credit.","-","Offered alternate years.","-"
"EECS","225A","Electrical Engineering and Computer Sciences","Statistical Signal Processing","3","3","-","This course connects classical statistical signal processing (Hilbert space filtering theory by Wiener and Kolmogorov, state space model, signal representation, detection and estimation, adaptive filtering) with modern statistical and machine learning theory and applications. It focuses on concrete algorithms and combines principled theoretical thinking with real applications.","-","Course is not repeatable for credit.","-","-","-"
"EECS","225B","Electrical Engineering and Computer Sciences","Digital Image Processing","3","3","-","This course deals with computational methods as applied to digital imagery. It focuses on image sensing and acquisition, image sampling and quantization; spatial transformation, linear and nonlinear filtering; introduction to convolutional neural networks, and GANs; applications of deep learning methods to image processing problems; image enhancement, histogram equalization, image restoration, Weiner filtering, tomography, image reconstruction from projections and partial Fourier information, Radon transform, multiresolution analysis, continuous and discrete wavelet transform and computation, subband coding, image and video compression, sparse signal approximation, dictionary techniques, image and video compression standards, and more.","-","Course is not repeatable for credit.","-","-","-"
"EECS","227AT","Electrical Engineering and Computer Sciences","Optimization Models in Engineering","4","4","-","This course offers an introduction to optimization models and their applications, ranging from machine learning and statistics to decision-making and control, with emphasis on numerically tractable problems, such as linear or constrained least-squares optimization. ","-","Course is not repeatable for credit.","-","-","-"
"EECS","244","Electrical Engineering and Computer Sciences","Introduction to Design Automation","4","4","-","This course is an introduction to design automation, concerned with rigorous methods and tools for the modeling, design, and analysis of complex engineered systems. Topics include design flows, discrete and continuous modeling techniques, and fundamental synthesis, verification, and simulation algorithms. Integrated circuit design will be used as a central example, augmented by examples from cyber-physical systems and software design. Laboratory assignments and a class project will expose students to state-of-the-art languages and tools. ","-","Course is not repeatable for credit.","-","-","-"
"EECS","251A","Electrical Engineering and Computer Sciences","Introduction to Digital Design and Integrated Circuits","3","3","-","An introduction to digital circuit and system design. The material provides a top-down view of the principles, components, and methodologies for large scale digital system design. The underlying CMOS devices and manufacturing technologies are introduced, but quickly abstracted to higher levels to focus the class on design of larger digital modules for both FPGAs (field programmable gate arrays) and ASICs (application specific integrated circuits). The class includes extensive use of industrial grade design automation and verification tools for assignments, labs, and projects.","-","Course is not repeatable for credit.","-","-","-"
"EECS","251B","Electrical Engineering and Computer Sciences","Advanced Digital Integrated Circuits and Systems","4","4","-","This course aims to convey a knowledge of advanced concepts of digital circuit and system-on-a-chip design in state-of-the-art technologies. Emphasis is on the circuit and system design and optimization for both energy efficiency and high performance for use in a broad range of applications, from edge computing to datacenters. Special attention will be devoted to the most important challenges facing digital circuit designers in the coming decade. The course is accompanied with practical laboratory exercises that introduce students to modern tool flows.","-","Course is not repeatable for credit.","-","-","-"
"EECS","251LA","Electrical Engineering and Computer Sciences","Introduction to Digital Design and Integrated Circuits Lab","2","2","-","This lab lays the foundation of modern digital design by first presenting the scripting and hardware description language base for specification of digital systems and interactions with tool flows. The labs are centered on a large design with the focus on rapid design space exploration. The lab exercises culminate with a project design, e.g. implementation of a 3-stage RISC-V processor with a register file and caches. The design is mapped to simulation and layout specification.","-","Course is not repeatable for credit.","-","-","-"
"EECS","251LB","Electrical Engineering and Computer Sciences","Introduction to Digital Design and Integrated Circuits","2","2","-","This lab covers the design of modern digital systems with Field-Programmable Gate Array (FPGA) platforms.  A series of lab exercises provide the background and practice of digital design using a modern FPGA design tool flow.  Digital synthesis, partitioning, placement, routing, and simulation tools for FPGAs are covered in detail.  The labs exercises culminate with a large design project, e.g. an implementation of a full 3-stage RISC-V processor system, with caches, graphics acceleration, and external peripheral components.  The design is mapped and demonstrated on an FPGA hardware platform.","-","Course is not repeatable for credit.","-","-","-"
"EECS","283A","Electrical Engineering and Computer Sciences","Natural Language Processing","4","4","-","This course provides a hands-on introduction to language technologies, covering methods for processing speech and text. This includes: statistical models, early neural models, and transformer-based LLMs; model architectures, training, evaluation, and social impacts; core tasks and methods like machine translation, parsing, and prompting; analysis and representation of speech and speech recognition models. Weekly assignments provide practical experience in building systems and understanding their strengths and limitations.","-","Course is not repeatable for credit.","-","-","-"
"EECS","C106A","Electrical Engineering and Computer Sciences","Introduction to Robotics","4","4","-","This course is an introduction to the field of robotics. It covers the fundamentals of kinematics, dynamics, control of robot manipulators, robotic vision, sensing, forward & inverse kinematics of serial chain manipulators, the manipulator Jacobian, force relations, dynamics, & control. We will present techniques for geometric motion planning & obstacle avoidance. Open problems in trajectory generation with dynamic constraints will also be discussed. The course also presents the use of the same analytical techniques as manipulation for the analysis of images & computer vision. Low level vision, structure from motion, & an introduction to vision & learning will be covered. The course concludes with current applications of robotics.","BIOENGC106A INTRO TO ROBOTICS, MECENGC106A INTRO TO ROBOTICS","Course is not repeatable for credit.","-","-","-"
"EECS","C106B","Electrical Engineering and Computer Sciences","Robotic Manipulation and Interaction","4","4","-","The course is a sequel to EECS/BIOE/MEC106A/EECSC206A, which covers the mathematical fundamentals of robotics including kinematics, dynamics and control as well as an introduction to path planning, obstacle avoidance, and computer vision. This course will present several areas of robotics and active vision, at a deeper level and informed by current research.  Concepts will include the review at an advanced level of robot control, the kinematics, dynamics and control of multi-fingered hands, grasping and manipulation of objects, mobile robots: including  non-holonomic motion planning and control, path planning,  Simultaneous Localization And Mapping (SLAM), and active vision. Additional research topics covered at the instructor's discretion.","BIOENGC106B ROBOTIC MANIPULATIO, MECENGC106B ROBOTIC MANIPULATIO","Course is not repeatable for credit.","-","-","-"
"EECS","C191A","Electrical Engineering and Computer Sciences","Introduction to Quantum Computing I","4","4","-","This is the first semester of a multidisciplinary two-semester sequence in Quantum Computing. This semester provides an introduction to fundamental conceptual aspects of quantum mechanics in the language of qubits and quantum gates, and a first introduction to quantum computation.  Topics in part one include basic concepts and results in quantum information, quantum algorithms, and an introduction to quantum error correction.","CHEMC191A INTRO QUANTUM COMP, PHYSICSC191A INTRO QUANTUM COMP","Course is not repeatable for credit.","-","-","-"
"EECS","C191B","Electrical Engineering and Computer Sciences","Introduction to Quantum Computing II","4","4","-","This is the second semester of a multidisciplinary two-semester sequence in Quantum Computing. This second semester covers fundamentals of control of qubits, methods of quantum error mitigation, quantum benchmarking, quantum supremacy and tests of quantumness, advanced quantum error correction including fault-tolerant quantum computing and error thresholds, theory/practice of near-term fault fault tolerance, discussions of different physical platforms for quantum computing, and alternative paradigms for quantum computing.","CHEMC191B INTRO QUANTUM COMP, PHYSICSC191B INTRO QUANTUM COMP","Course is not repeatable for credit.","-","-","-"
"EECS","C206A","Electrical Engineering and Computer Sciences","Introduction to Robotics","4","4","-","This course is an introduction to the field of robotics. It covers the fundamentals of kinematics, dynamics, control of robot manipulators, robotic vision, sensing, forward & inverse kinematics of serial chain manipulators, the manipulator Jacobian, force relations, dynamics, & control. We will present techniques for geometric motion planning & obstacle avoidance. Open problems in trajectory generation with dynamic constraints will also be discussed. The course also presents the use of the same analytical techniques as manipulation for the analysis of images & computer vision. Low level vision, structure from motion, & an introduction to vision & learning will be covered. The course concludes with current applications of robotics.","MECENGC206A INTRO TO ROBOTICS","Course is not repeatable for credit.","-","-","-"
"EECS","C206B","Electrical Engineering and Computer Sciences","Robotic Manipulation and Interaction","4","4","-","This course  is a sequel to EECS C106A/206A, which covers kinematics,dynamics and control of a single robot. This course will cover dynamics and control of groups of roboticmanipulators coordinating with each other and interacting with the environment. Concepts will includean introduction to grasping and the constrained manipulation, contacts and force control for interactionwith the environment. We will also cover active perception guided manipulation, as well as themanipulation of non-rigid objects. Throughout, we will emphasize design and human-robotinteractions, and applications to applications in manufacturing, service robotics, tele-surgery, andlocomotion. ","MECENGC206B ROBOTIC MANIPULATIO","Course is not repeatable for credit.","-","-","-"
"EECS","C249B","Electrical Engineering and Computer Sciences","Cyber Physical System Design Prinicples and Applications","4","4","-","Principles of embedded system design. Focus on design methodologies and foundations. Platform-based design and communication-based design and their relationship with design time, re-use, and performance. Models of computation and their use in design capture, manipulation, verification, and synthesis. Mapping into architecture and systems platforms. Performance estimation. Scheduling and real-time requirements. Synchronous languages and time-triggered protocols to simplify the design process. ","CIVENGC289 CYBER PHYS SYSTEMS","Course is not repeatable for credit.","-","-","-"
"ELENG","16A","Electrical Engineering and Computer Sciences","Designing Information Devices and Systems I","4","4","-","This course and its follow-on EE16B focus on the fundamentals of designing and building modern information devices and systems that interface with the real world.  The course sequence provides a comprehensive introduction to core EECS topics in circuit design, signals, and systems in an application-driven context.  The courses are delivered assuming mathematical maturity and aptitude at roughly the level of having completed Math 1A-1B, and are aimed at entering students as well as non-majors seeking a broad introduction to the field.","-","-","-","-","-"
"ELENG","16B","Electrical Engineering and Computer Sciences","Designing Information Devices and Systems II","4","4","-","This course is a follow-on to Electrical Engineering 16A, and focuses on the fundamentals of designing and building modern information devices and systems that interface with the real world.  The course sequence provides a comprehensive introduction to core EECS topics in circuit design, signals, and systems in an application-driven context.  The c","-","-","-","-","-"
"ELENG","24","Electrical Engineering and Computer Sciences","Freshman Seminar","1","1","-","The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman seminars are offered in all campus departments, and topics may vary from department to department and semester to semester.","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","25","Electrical Engineering and Computer Sciences","What Electrical Engineers Do--Feedback from Recent Graduates","1","1","-","A Berkeley Electrical Engineering and Computer Sciences degree opens the door to many opportunities, but what exactly are they? Graduation is only a few years away and it's not too early to find out. In this seminar students will hear from practicing engineers who recently graduated. What are they working on? Are they working in a team? What do they wish they had learned better? How did they find their jobs?","-","Course is not repeatable for credit.","-","-","-"
"ELENG","39","Electrical Engineering and Computer Sciences","Freshman/Sophomore Seminar","2","4","-","Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Enrollment limits are set by the faculty, but the suggested limit is 25.","-","Course may be repeated for credit when topic changes.","-","-","-"
